mot_moore;sens_num;categorie_grammaticale;prononciation;definition_francais;definition_english;variante;pluriel;domaine;synonymes;antonymes
-a;1;Verbe;;forme courte de la marque de la déclaration «lame» dans les formes verbales après la chute du «me», ce «-a» est toujours collé au verbe sans trait d'union;short form of the declaration mark «lame», always attached to the verb without a hyphen;lame;;Grammar;;
a;1;Pronom;à;il, elle;he, she;yẽ;;Grammar;;
a bal;;expression;;n'importe comment;no matter how;;;;;
a sãn ka woto;;expression;;sinon, si ce n'est pas comme ça;if not, if it is not like that;;;;;
a to;;indéfinie;;autre, unique, incomparable;other, another, unique, incomparable;;taaba;;;
a toore;;Nom;;lui-même;he himself, she herself;;;;;
a woto;;Adverbe;ò-ó;comme ceci, ainsi;like that, thus, that way;a boto;;;;
a ye;1;indéfinie;;un, une;a certain, one, the only one;a yembre;;;;
a ye;2;expression;;identique, même chose, pareil;identical, same, equal;;;;;
a ye ligdi;;expression;;prix unitaire;unit price, price per unit;;;Money;bil-tik ligdi;
a zagla;;Nom;;untel;Mr;;;;bõndo1;
ãa;;interj;ã̀-á;réponse à un appel par le prénom;answer to someone calling the first name.;;;;;
ãadga;;Nom;ã́-á;prunier noir;blackberry tree, plum tree;;ãadse;Tree;;
ãadre;;Nom;ã́-é ;prune noire;plum (black), blackberry;;ãada;Food;;
ãase;;Verbe;ã́-é;casser sur l'arbre;break on a tree.;;;;;
abada;;Adverbe;;jamais;never;a bada;;;;
[ã̀] ãbga;1;Nom;ã́-à;puce, tique;flea, tick;yãbga;ãbse;Insect;;
ãbga;2;Nom;ã̀-á;panthère, léopard;panther, leopard;;ãbse;Mammal;;
ãbge;;Verbe;ã̀;devenir de mauvaise qualité (bière);get bad in quality (beer).;;;;;
ãbre;;Nom;ã̀-é;verrue;wart;;ãba;;wãbre, yãbre1, warpusi;
ãbse gɛla;;expression;;œufs de pou;nit, louse eggs.;;;;;
ad;;Verbe;à;voici, voilà;here is, here are;ade;;;;
ada;;démonstratif;à-á;celui-ci, voici;this one, here is;ad;;;yão1;
ãd-bila;;Nom;;astérisque;asterisk;;;;;
ade;;Verbe;à-é;voici, voilà;here are/is, there is / are;ad;;;;
aderse;;Nom;á-é-è;adresse;address;adɛrse;;;belem zĩiga;
ãdga;;Nom;ã́-à;étoile;star;;ãdse;Sky;;
ãdga ne zʋʋre;;Nom;;comète, météore, étoile avec une queue;comet, meteor, star with a tail;;;Sky;;
ãd-kaoodga;;Nom;;étoile filante;falling star;;;Sky;ãd-loaadga, ãd-zʋʋre;
ãd-loaadga;;Nom;;étoile filante;falling star;;;;ãd-zʋʋre, ãd-kaoodga;
ãd-lolle;;Nom;á-ó-é;galaxie;galaxy;;;Sky;;
ãdse;;Nom;;étoiles;stars;;;Sky;;
ãd-zʋʋre;;Nom;ã́-é;étoile filante;falling star;;ãd-zʋya;Sky;ãd-loaadga, ãd-kaoodga;
Afriki;;Nom;á;Afrique;Africa;;;Region;;
albasle;;Nom;à-á-é;oignon;onion;arbasle;albasla;Food;zeyõ, gebre, gɛba;
alfa;;Nom;à-á;ami croyant, frère dans la foi musulmane;friend in the faith, brother in Muslim faith;;alfaamba;;;
alkam;;Nom;à-á;riz blanc;white rice;;;Food;;
alkamdo;;Nom;à-á-ò;blé;wheat;;;Food;;
alkamisa;;Nom;à-í-à;jeudi;Thursday;alkamusa, lamusa;;;lamusa;
alkolle;;Nom;;alcool;alcohol.;;;;;
alkʋrãana;;Nom;à-ã́-ã̀;Coran;Koran.;;;;;
almete;;Nom;à-é-à;allumette;match;alimet, almɛt;;;mankẽsga, mankẽs-bila;
almoore;;Nom;;armoire;cupboard, wardrobe.;;;;;
alsɩlaama;;Nom;à-á-à;musulman;Muslim.;;alɩslaamba;;;
alsɩlaamdo;;Nom;;Islam;Islam.;;;;;
ãm;;Nom;ã́;décoction de gousses de néré;cooked juice of dawadawa fruit.;;;;;
ambasad;;Nom;;ambassade;embassy;;;Government, Building;tẽn-taag lɛt tʋʋm zĩiga;
ambreaka;;Nom;á-à;arbuste (espèce);shrub sp;baag yoore;ambreagse;Bush, shrub;;
-ame;;Verbe;;marque de la déclaration en position finale de la proposition;declaration mark at final position;-ime, -ome, -ʋme, -ɩme;;Grammar;;
